MFWs,frequency
مدير,0.0076827165
اللواء,0.0070933657
النيابة,0.0060816787
الشرطة,0.0052101305
الأمن,0.0050104807
أحمد,0.0046956483
وتم,0.0040525455
القاهرة,0.0039277644
داخل,0.0038452169
شرطة,0.0037895453
القبض,0.0037645891
أمن,0.0037473117
المتهم,0.0037434723
المتهمين,0.0034747129
الحادث,0.0033921654
مباحث,0.0031752382
قسم,0.0030562162
سيارة,0.0029871067
أثناء,0.0029755884
المباحث,0.0029659898
العام,0.0029429533
ضبط,0.002912238
العامة,0.0028162525
أحد,0.0027836174
التحقيقات,0.0026569166
محمود,0.0024899018
الواقعة,0.0024707048
التحقيق,0.0024649456
السيارة,0.0024323106
الجيزة,0.0023977558
نقل,0.0023747193
وتبين,0.0023727996
مستشفى,0.002317128
المستشفى,0.00230369
الأول,0.0022710549
الداخلية,0.0022038651
أمس,0.0021558724
مساعد,0.002079084
التحريات,0.0020022956
مما,0.0019888576
مركز,0.0019754197
أجهزة,0.0019235875
حالة,0.0018679159
النيران,0.0018602371
٣,0.0018314414
الأمنية,0.0017911275
أول,0.0017872881
منطقة,0.001768091
عليهم,0.0017450545
وأن,0.0017335362
الجريمة,0.0017335362
رقم,0.0017277771
٤,0.0017124194
محضر,0.0016913026
تلقى,0.0016183537
وفى,0.0015876383
أمام,0.0015857186
نيابة,0.0015665215
الضحية,0.0015050908
العميد,0.0014878134
تبين,0.0014820543
سيارات,0.0014801346
المجنى,0.0014686163
مدرسة,0.0014666966
إبراهيم,0.0014590177
الإدارة,0.0014379009
مدينة,0.0014071856
السيارات,0.001397587
البحث,0.0013764702
الطريق,0.0013572731
القسم,0.0013572731
بأن,0.0013495943
قام,0.0013361563
السجن,0.0013207987
شارع,0.0013169592
سرقة,0.0012977621
فريق,0.0012939227
حسن,0.0012843242
مكان,0.0012824045
قرية,0.0012689665
الجنائية,0.0012651271
وأنه,0.0012478497
إلا,0.0012344117
جنوب,0.0012228935
المستشار,0.0012113752
بالواقعة,0.0012094555
المصابين,0.0012075358
السجون,0.0012036964
رجال,0.0011844993
قتل,0.0011806598
السيد,0.0011710613
نارية,0.0011710613
طريق,0.001159543
قوات,0.0011480248
ضباط,0.0011461051
أفراد,0.0011461051
جثة,0.0011403459
بمنطقة,0.0011384262
النارية,0.0011345868
النار,0.0011249883